brand,color,desc,retailPrice,title
ASOS Curve,black based floral,Plus-size dress by ASOS DESIGN          As seen on one of our ASOS modelsAll-over daisy printV-neckLong sleevesWrap frontPeplum hemFrill trimsRegular fitTrue to size,20,ASOS DESIGN Curve mini wrap dress with frill neck and pep hem in black base daisy print
Collusion,brown,Maxi dress by COLLUSION    Act casualPlain designCrew neckDrop shouldersGathered waistSmock styleRelaxed fitSlouchy cut Exclusive to ASOS,23.2,COLLUSION maxi smock dress in dark beige
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Act casualPlain designCrew neckLong sleevesTiered skirtSmock styleRegular fitTrue to size,23.2,ASOS DESIGN long sleeve tiered smock mini dress in black
ASOS DESIGN,beige leopard,"Mini dress by ASOS DESIGN    Crack the dress codeLeopard print designV-neckPuff sleeves    Shirred, stretch panelsRuffle trimRegular fitTrue to size",22.4,ASOS DESIGN satin shirred skirt mini dress in leopard
Flounce London,taupe,Dress by Flounce London    Your new favorite dressPlain design     Scoop neck     Sleeveless style    Slim fitClose-fitting cut ,24,Flounce ribbed midi dress in beige
ASOS Curve,rose,"Plus-size dress by ASOS DESIGN    Thanks, it's ASOSV-neckFlutter sleevesFaux button frontRuffle hemRegular fitTrue to size",32,ASOS DESIGN Curve eyelet v neck button through mini dress with peplum hem in rose
Brave Soul Plus,tan,Plus-size dress by Brave Soul         Coming soon to your Saved ItemsCrew neck Short sleevesLeopard-print trimRegular fitTrue to size,8.4,Brave Soul Plus cola leopard contrast ringer t-shirt dress
Puma,white,Mini dress by PUMA    Outfit of the dayCrew neckShort sleevesSmall printed logo to chestRelaxed fitA little bit slouchy,28,Puma t-shirt dress in white
ASOS DESIGN,blue/yellow check,"Midi dress by ASOS DESIGN     Check you outBandeau style Ruffle trim  Shirred, stretch chest panel Elasticated waistFrill hem Regular fitTrue to size",34.4,ASOS DESIGN bandeau shirred midi sundress in plaid
ASOS Tall,orange spot,Tall dress by ASOS DESIGN    Dreaming of the beachAll-over spot printTiered designPlunge neckSleeveless styleStrappy back with tie fasteningRegular fitTrue to size,28,ASOS DESIGN tall tiered beach dress in crinkle orange spot print
ASOS DESIGN,blues,Beach dress by ASOS DESIGN    Destination: somewhere sandyAsymmetric neckCami strapsCut-out detailFront splitStrappy tie backRegular fitTrue to size,36.8,ASOS DESIGN cut out beach dress with tab detail in blue
Liquorish,black,Dress by Liquorish    Crack the dress codeV-neckShort sleevesWrap frontTie waistRegular fitTrue to size,40.2,Liquorish wrap midi crinkled dress in black
ASOS DESIGN,mono spot,Beach dress by ASOS DESIGNDestination: somewhere sandyAll-over spot printMetallic stripe detailScoop neckAdjustable cami strapsLace-up sidesRegular fitTrue to size,28,ASOS DESIGN lace up side swing beach dress in spot
Lola May,mint green,Dress by Lola May    Crack the dress codeCrew neck Frill sleevesSmock styleRelaxed fit Loose cut ,29,Lola May long smock dress in mint shimmer
Wednesday's Girl,navy floral,Mini dress by Wednesday's Girl    Cute dress Floral design V-neck Blouson sleeves Button placket Smock style Tiered design Regular fit True to size ,16.8,Wednesday's Girl long sleeve mini smock dress with tiered skirt in floral print
ASOS Curve,rust spot,Plus-size dress by ASOS DESIGN          Coming soon to your Saved ItemsPolka-dot printCrew neckLong sleevesSmock styleButton-keyhole backRegular fitTrue to size,15.95,ASOS DESIGN Curve long sleeve smock mini dress in rust dot
Virgos Lounge,blush,"Dress by Virgos Lounge    Crack the dress codeRound neckCold-shoulder cutBead, sequin and faux-crystal embellishmentWrap skirtZip-back fasteningRegular fitTrue to size",127,Virgos Lounge embellished midi wrap dress with cold shoulder detail in blush pink
ASOS DESIGN,black,Dress by ASOS DESIGN    Act casualPlain designCrew neckLong sleevesOversized fitRelaxed and roomy ,23.2,ASOS DESIGN oversized long sleeve t-shirt dress in black
ASOS DESIGN,animal print,Dress by ASOS DESIGN    Crack the dress codeAnimal printHigh neckLong sleevesPleated skirtZip and button-keyhole backRegular fitTrue to size,40,ASOS DESIGN high neck pleated long sleeve skater mini dress in animal print
Influence,green multi,Dress by Influence    Our kind of flowersDitsy floral printRound neckLong sleevesGathered waistRuched skirtAdjustable hemRegular fitTrue to size,35,Influence long sleeve printed cotton body-conscious dress in ditsy floral print
ASOS Curve,blush,Plus-size dress by ASOS DESIGN    Dress casual? No thanksBeaded embellishmentRound neckLong sleevesPleated tulle skirtButton-keyhole backZip-back fasteningRegular fitTrue to size,108,ASOS DESIGN Curve embellished bodice maxi dress with tulle skirt
